BuId,Rim,TotalCards
952404,1000165,1
851883,1000304,1
851658,1000371,1
851734,1000397,1
956646,1000453,1
851811,1000499,1
851888,1000598,1
851813,1000632,1
851890,1000718,1
851892,1000841,1
851817,1000859,1
851894,1000916,2
851744,1000921,1
851745,1000965,1
851562,1001007,1
851897,1001122,1
851747,1001128,1
851672,1001131,2
851822,1001133,1
851748,1001154,1
851902,1001365,1
851903,1001439,1
851829,1001622,1
851755,1001699,1
851680,1001726,1
851906,1001762,1
851759,1001957,1
851760,1002030,1
851912,1002158,3
851762,1002162,1
851837,1002180,1
955434,1002230,1
851838,1002265,2
955374,1002321,1
851841,1002355,1
851767,1002377,1
851919,1002435,1
850878,1002446,1
851844,1002536,1
957055,1002615,1
851921,1002638,1
851851,1003007,1
851928,100318,1
851710,1003656,2
851860,1003661,3
851711,1003702,1
851939,1003865,1
851940,1003994,1
851865,1004047,1
851866,1004077,1
954069,1004095,1
851717,1004132,1
949118,1004145,1
851943,1004207,1
851793,1004343,1
851945,1004370,1
851720,1004377,1
954351,1004428,1
851721,1004434,1
851871,100444,1
851947,1004454,1
851796,1004474,3
851872,1004502,1
851592,1004900,1
850883,1004924,1
851956,1005137,1
851881,1005152,1
851957,1005268,1
852110,1005391,1
851960,100541,1
852036,1005464,2
852113,1005490,1
852114,1005542,2
852191,100556,1
852038,1005614,2
851967,1005823,1
851968,1005910,1
851971,1006052,2
851972,1006085,1
852123,1006087,1
852046,1006102,1
852124,1006159,2
852047,1006179,1
851974,1006224,1
852204,1006341,1
852050,1006344,2
852128,1006349,2
851978,100641,2
951032,1006520,1
852208,100654,1
852054,100655,1
852133,100657,1
852059,1006829,1
852063,1007013,1
852227,1007401,1
946646,1007403,1
852228,1007485,1
852074,1007486,2
852229,1007570,1
852153,1007622,1
852154,1007764,1
852004,1007814,1
852006,1007922,1
852234,1007968,1
852235,1007992,1
852082,1008099,2
852084,1008213,1
852162,1008226,1
852239,100823,1
852014,1008374,1
852166,1008426,1
947861,1008488,1
852244,1008545,1
852245,1008577,2
852091,1008578,1
852170,1008679,1
852248,100876,1
852175,1008950,2
852176,1008998,1
946664,1009147,1
852029,1009297,2
852103,1009355,1
852182,1009426,1
852412,1009638,1
852263,1009654,1
851270,1009679,1
852487,1009700,1
852265,1009748,1
852340,1009923,1
958469,101001,1
852342,1010096,1
958300,1010180,1
852420,1010185,1
959801,1010323,1
952241,1010602,1
852277,1010643,1
852500,1010654,1
852501,1010698,1
852352,1010732,2
852431,1010886,1
852434,1011009,1
852287,1011041,1
852510,1011044,1
950806,1011084,1
852516,1011314,2
852517,1011344,3
953520,1011394,1
852296,1011452,1
852370,101157,1
852523,101167,1
958405,1011833,1
852526,1011904,1
852303,1011955,2
852527,1011987,1
852453,1011996,1
852304,1012022,3
852457,1012138,1
852381,1012144,2
852382,1012171,1
852383,1012207,1
852460,1012268,1
852312,1012372,1
852463,1012440,1
852467,1012616,1
852319,1012626,1
852544,1012647,1
852321,1012711,2
852323,1012825,1
852324,1012917,3
852551,1013072,1
852328,1013093,2
852552,1013102,1
